"Блок справки";"Раздел справки";"Ссылка на раздел справки";"Видео №";"Название видео";"Длительность видео";"Опубликовано";"Тайм-код";"Секунды";"Тема эпизода";"Ссылка на тайм-код";"Ссылка на видео"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"0:00";"0";"Введение и постановка задачи: автоматическая расстановка присадок с шагом 32 мм";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=0";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"2:32";"152";"Настройка минимальных отступов и симметрии присадок";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=152";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"3:50";"230";"Выбор типа присадки и автоконфигурация по шагу";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=230";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"5:02";"302";"Выравнивание шага с подгонкой по краям для точности";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=302";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"6:22";"382";"Центрирование присадки по толщине материала";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=382";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"7:33";"453";"Формула для эластичного расчёта количества присадок с округлением вниз";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=453";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"10:01";"601";"Тестирование формулы на разных глубинах модулей";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=601";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"12:30";"750";"Смещение и корректировка присадки для правильного расположения";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=750";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"13:54";"834";"Клонирование и разворот присадки на другую сторону модуля";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=834";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"15:01";"901";"Проверка работы присадок на сцене продавца и настройка прозрачности";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=901";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"1";"Как быстро расставить присадки по схеме? Новая функция PlanPlace!";"16:31";"2026-06-26T15:52:11";"16:11";"971";"Итоги, приглашение к использованию PlanPlace и запуск производства";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/?t=971";"https://rutube.ru/video/1ad140ce3dc853746b3b34e4edecd0fa/"
